x1,x10,x11,x2,x3,x4,x5,x6,x7,x8,x9
양평,46,서,,20 이상,,,26.7,14.1,26.4,0.3
여수,76,남서,박무,9.5,0,0,26.7,22.1,28.9,
영광군,69,서,,14.1,,,26.8,20.6,28.5,0.0
영덕,51,서남서,,18.7,,,28.2,17.0,28.4,
영월,63,서남서,,19.8,,,23.7,16.2,24.9,0.3
영주,61,북서,,19.4,,,25.5,17.4,26.5,
영천,65,서,,16.4,,,27.2,20.0,28.6,1.0
완도,69,서남서,,16.9,,,27.7,21.4,29.4,
울릉도,77,서남서,맑음,11.6,2,2,25.1,20.7,27.3,
울산,62,남남서,맑음,19.9,1,1,28.3,20.3,29.4,
울진,56,서,,19.8,,,28.0,18.3,28.6,0.0
원주,48,서남서,,20 이상,,,26.0,14.1,25.9,2.6
의령군,64,남남서,,,,,28.2,20.7,29.5,0.0
의성,51,서남서,,20 이상,,,28.6,17.4,28.8,
이천,52,서,,19.7,,,26.7,16.0,27.0,0.2
인제,52,남남서,,20 이상,,,24.8,14.2,25.1,1.6
인천,69,서남서,맑음,19.8,1,1,24.9,18.8,26.6,0.0
임실,70,서,,16.5,,,25.5,19.6,27.2,
장수,72,남서,,13.0,,,24.4,19.0,26.3,0.0
장흥,59,서남서,,15.1,,,28.1,19.3,29.0,0.6
전주,60,남서,구름조금,20 이상,3,3,27.5,19.0,28.4,0.0
정선군,56,북동,,14.7,,,25.2,15.7,25.8,0.3
정읍,70,서,,17.1,,,26.2,20.2,27.9,
제주,64,동,구름조금,14.6,5,0,29.3,21.7,30.6,
제천,61,남서,,20 이상,,,24.3,16.2,25.3,0.4
진도군,79,남서,,9.8,,,26.7,22.7,29.1,
진주,82,동남동,,7.2,,,26.3,22.9,28.9,0.5
창원,69,남,구름조금,12.9,5,3,26.5,20.3,28.2,
천안,54,서,,20 이상,,,26.4,16.3,26.9,
철원,82,남서,,13.1,,,22.4,19.1,25.0,4.1
청송군,63,서,,9.8,,,26.8,19.1,28.0,
청주,50,서남서,맑음,20 이상,1,1,28.1,16.6,28.2,
추풍령,52,서남서,,18.6,,,26.2,15.5,26.5,
춘천,49,남서,,20 이상,,,26.7,15.0,26.7,1.7
충주,66,서,,19.9,,,24.2,17.4,25.6,0.0
태백,60,서남서,,20 이상,,,21.7,13.5,22.7,0.0
통영,92,남남서,,7.6,,,26.4,24.9,29.8,
파주,62,서남서,,13.7,,,25.1,17.2,26.2,0.0
포항,53,남서,구름조금,19.3,3,3,29.7,19.0,30.0,
함양군,58,서남서,,20 이상,,,28.0,18.9,28.8,0.0
합천,59,남서,맑음,18.9,2,1,28.4,19.6,29.3,0.7
해남,76,남남서,,7.8,,,26.9,22.3,29.1,
홍성,64,서남서,구름조금,20 이상,5,3,26.3,18.9,27.6,
홍천,46,서남서,,20 이상,,,26.5,13.9,26.3,1.2
흑산도,86,북북서,박무,7.0,6,6,25.3,22.7,28.2,
